Year,Tonnes of Fish Caught
1990,86007491.41
1991,84908673.26
1992,86394581.71
1993,87726443.81
1994,93341447.18
1995,93587342.37
1996,95147067.08
1997,94548091.81
1998,86968340.81
1999,92933431.19
2000,94778335.02
2001,91981833.62
2002,92332246.96
2003,89566496.53
2004,94189424.95
2005,93722945.24
2006,91266072.46
2007,91595723.38
2008,90735438.09
2009,90179844.92
2010,88213196.91
2011,92776108.65
